,comment_count,view_count,like_count,title,description,channel,tags,categories,duration
84,1500,6301109,42797,Funny Vines January 2018 (Part 2) TBT Vine compilation,"New TBT Vine compilation with the Best Vines of January 2016

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines Vine compilation best vines new vines vines 2018 vines january 2018 january vines tbt vines,Entertainment,1725
85,1500,7773160,63218,Funny Vines December 2017 (Part 2) TBT Vine compilation,"New TBT Vine compilation with the Best Vines of December 2016

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines Vine compilation best vines new vines vines 2017 vines december 2017 december vines tbt vines,Entertainment,1847
86,725,4481727,38834,Funny Vines December 2017 (Part 1) TBT Vine compilation,"New TBT Vine compilation with the Best Vines of December 2016

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines Vine compilation best vines new vines vines 2017 vines december 2017 december vines tbt vines,Entertainment,1746
87,881,5726259,38332,Funny Vines November 2017 (Part 2) TBT Vine compilation,"New TBT Vine compilation with the Best Vines of November 2016

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines Vine compilation best vines new vines vines 2017 vines november 2017 november vines tbt vines,Entertainment,1847
88,1400,6339792,36124,Funny Vines October 2017 (Part 2) TBT Vine compilation,"New TBT Vine compilation with the Best Vines of October 2016

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines Vine compilation best vines new vines vines 2017 vines october 2017 october vines tbt vines,Entertainment,1716
89,908,4015565,35170,Funny Vines October 2017 (Part 1) TBT Vine compilation,"New TBT Vine compilation with the Best Vines of October 2016

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines Vine compilation best vines new vines vines 2017 vines october 2017 october vines tbt vines,Entertainment,1842
90,3800,15565484,109438,Funny Vines September 2017 (Part 2) TBT Vine compilation,"New TBT Vine compilation with the Best Vines of September 2016

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines Vine compilation best vines new vines vines 2017 vines september 2017 september vines tbt vines,Entertainment,1025
91,1000,5048858,41905,Funny Vines September 2017 (Part 1) TBT Vine compilation,"New TBT Vine compilation with the Best Vines of September 2016

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines Vine compilation best vines new vines vines 2017 vines september 2017 september vines tbt vines,Entertainment,1833
92,983,3434822,25883,Funny Vines July 2017 (Part 1) TBT Vine compilation,"New TBT Vine compilation with the Best Vines of July 2016

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines Vine compilation best vines new vines vines 2017 vines july 2017 july vines tbt vines,Entertainment,1635
93,1500,8732430,46567,Funny Vines June 2017 (Part 1) TBT Vine compilation,"New TBT Vine compilation with the Best Vines of June 2016

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines Vine compilation best vines new vines vines 2017 vines june 2017 june vines tbt vines,Entertainment,1823
94,1100,7197786,41175,Funny Vines May 2017 (Part 2) TBT Vine compilation,"New TBT Vine compilation with the Best Vines of May 2016

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines Vine compilation best vines new vines vines 2017 vines may 2017 may vines tbt vines,Entertainment,1937
95,953,4809984,45760,Funny Vines May 2017 (Part 1) TBT Vine compilation,"New TBT Vine compilation with the Best Vines of May 2016

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines Vine compilation best vines new vines vines 2017 vines may 2017 may vines tbt vines,Entertainment,1685
96,163,397439,9785,Funny Vines September 2021 (Part 2) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of September

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines september vines tbt vines clean vines vines September 2021,Entertainment,1403
97,180,305977,4294,Funny Vines November 2021 (Part 2) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of November

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines November vines tbt vines clean vines vines November 2021 vine compilation,Entertainment,1409
98,51,145378,3004,Funny Vines December 2021 (Part 1) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of December

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines December vines tbt vines clean vines vines December 2021 vine compilation,Entertainment,1401
99,137,305434,6937,Funny Vines December 2021 (Part 2) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of December

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines December vines tbt vines clean vines vines December 2021 vine compilation,Entertainment,1416
100,156,429761,6225,Funny Vines January 2022 (Part 1) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of January

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines January vines tbt vines clean vines vines January 2022 vine compilation,Entertainment,1388
101,69,225961,4799,Funny Vines May 2022 (Part 1) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of May

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines May vines tbt vines clean vines vines May 2022,Entertainment,983
102,61,171451,2599,Funny Vines May 2022 (Part 2) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of May

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines May vines tbt vines clean vines vines May 2022,Entertainment,1255
103,57,140827,3225,Funny Vines June 2022 (Part 1) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of June

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines June vines tbt vines clean vines vines June 2022,Entertainment,1302
104,34,76481,1694,Funny Vines June 2022 (Part 2) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of June

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines June vines tbt vines clean vines vines June 2022,Entertainment,1096
105,44,116604,2713,Funny Vines July 2022 (Part 1) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of July

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines July vines tbt vines clean vines vines July 2022,Entertainment,1136
106,78,263099,4421,Funny Vines August 2022 (Part 1) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of August

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines August vines tbt vines clean vines vines August 2022,Entertainment,1270
107,66,225745,4430,Funny Vines August 2022 (Part 2) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of August

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines August vines tbt vines clean vines vines August 2022,Entertainment,1286
108,40,134085,2666,Funny Vines September 2022 (Part 1) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of September

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines September vines tbt vines clean vines vines September 2022,Entertainment,1389
109,70,217426,3363,Funny Vines September 2022 (Part 2) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of September

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines September vines tbt vines clean vines vines September 2022,Entertainment,1364
110,56,216583,3797,Funny Vines October 2022 (Part 1) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of October

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines October vines tbt vines clean vines vines October 2022,Entertainment,1235
