Date,Close,High,Low,Open,Volume,Target
2020-01-02,110.09119415283203,112.56249931552371,109.38386014234321,112.42278872287856,5149800,108.94723510742188
2020-01-03,108.94723510742188,109.61963815220926,108.22243226132409,108.85991098844217,5018500,107.91681671142578
2020-01-06,107.91681671142578,108.85119896775142,107.60244448851206,108.25738550918156,4226900,108.1089096069336
2020-01-07,108.1089096069336,108.6590575426643,107.41030334299353,107.41030334299353,3641600,107.75961303710938
2020-01-08,107.75961303710938,109.3751326256462,107.70721323356092,108.32722982832597,5731600,107.846923828125
2020-01-09,107.846923828125,109.07821579205121,107.11339329315824,107.846923828125,5369700,108.92103576660156
2020-01-10,108.92103576660156,109.76808702779617,108.32722244528385,108.90356694580817,4678000,108.17002868652344
2020-01-13,108.17002868652344,108.87736264314206,107.34916739002102,108.79876627996079,3632800,109.38388061523438
2020-01-14,109.38388061523438,109.7331838118371,107.79455739997607,107.93427468117457,3291900,102.1707763671875
2020-01-15,102.1707763671875,104.26658849694375,100.91328775685312,102.5986692061584,26743400,101.57696533203125
2020-01-16,101.57696533203125,102.45021985058806,101.14907248341133,102.2930337707517,9361600,102.10093688964844
2020-01-17,102.10093688964844,102.86067086940987,101.44599587129,101.72543710596008,7303800,99.5859603881836
2020-01-21,99.5859603881836,101.87388995362895,99.39384330054412,101.87388995362895,8188000,99.46370697021484
2020-01-22,99.46370697021484,100.49414773409931,99.3501796006316,99.67328622285451,5070600,100.88710021972656
2020-01-23,100.88710021972656,100.92203120229671,98.76509133101733,99.14059106564173,4641500,99.83045959472656
2020-01-24,99.83045959472656,101.29752750089078,99.23664623598383,101.29752750089078,4338900,101.10542297363281
2020-01-27,101.10542297363281,101.4809227420899,98.30227632825026,98.63411069895947,6779200,100.80851745605469
2020-01-28,100.80851745605469,101.69923425459137,100.79978304420904,101.42852744901336,3865100,99.78679656982422
2020-01-29,99.78679656982422,101.36739186859087,99.76933440991903,101.10541283318763,5250600,100.13610076904297
2020-01-30,100.13610076904297,100.17103175161958,98.58170868760386,99.35017031707834,4466400,96.70423126220703
2020-01-31,96.70423126220703,99.36766097285651,96.38113126158753,99.0358265590728,6961900,98.24986267089844
2020-02-03,98.24986267089844,99.03579302946456,96.93124655054879,97.05350164383653,5186000,98.89606475830078
2020-02-04,98.89606475830078,100.24961179743724,98.85239937159214,99.2366334549398,3626000,100.88710021972656
2020-02-05,100.88710021972656,101.21020681169759,99.42003226379914,99.55975619407971,3636700,100.54651641845703
2020-02-06,100.54651641845703,101.62935006644437,100.21468212731325,101.28878136536447,4024800,100.95695495605469
2020-02-07,100.95695495605469,100.99188593612367,99.95271093188195,100.44173132804124,2970800,102.15333557128906
2020-02-10,102.15333557128906,102.3803769915433,100.94823984690424,100.94823984690424,3862000,101.90008544921875
2020-02-11,101.90008544921875,102.29304736984936,100.5290759393152,102.23191981192006,3065100,103.14009094238281
2020-02-12,103.14009094238281,103.69897329705468,101.70795407573574,101.87387456498006,3764800,103.28852844238281
2020-02-13,103.28852844238281,103.48064547464924,102.53752913210626,102.90429437785,2654900,101.84767150878906
2020-02-14,101.84767150878906,103.44572886743552,101.55950258276687,103.30601160972827,3289100,103.48118591308594
2020-02-18,103.48118591308594,103.51631569422871,102.18141081208553,102.70834412858599,3122500,103.09477996826172
2020-02-19,103.09477996826172,103.74466426282652,102.79618683573683,103.35825001487206,2866700,103.85882568359375
2020-02-20,103.85882568359375,103.88517134513133,102.37462421398219,102.72591533523189,2659300,102.76102447509766
2020-02-21,102.76102447509766,104.40329958403997,102.57659818106069,103.48116811385512,3856500,99.92436981201172
2020-02-24,99.92436981201172,101.8652449057917,99.34474519999723,100.53913090391111,5304900,98.11522674560547
2020-02-25,98.11522674560547,101.12753657377125,98.03618306889854,100.28444199071146,5095900,97.18428802490234
2020-02-26,97.18428802490234,98.9846435190609,96.85934267605138,98.51918578984098,4318300,92.758056640625
2020-02-27,92.758056640625,96.0601753147775,92.68779708577411,95.1819509801012,6713400,90.45710754394531
2020-02-28,90.45710754394531,91.51097407792152,88.47231864795943,89.7633095072883,9174100,95.77912139892578
2020-03-02,95.77912139892578,96.112850856269,90.41317143278937,90.7908080764073,9691100,92.95124053955078
2020-03-03,92.95124053955078,98.53674665273306,91.30018155464425,98.36110450339012,10927400,94.6901626586914
2020-03-04,94.6901626586914,94.90971877751608,91.92375422143635,93.97001885695933,6834800,93.0654525756836
2020-03-05,93.0654525756836,95.23466819160564,92.43312985521645,92.77563687874927,5294900,93.04788208007812
2020-03-06,93.04788208007812,93.46943278362195,90.2375663908563,91.47586613850541,5370800,91.3616714477539
2020-03-09,91.3616714477539,94.56719143337476,87.61165669273612,87.61165669273612,7346600,95.13805389404297
2020-03-10,95.13805389404297,96.24461184910055,92.03792273523061,93.30256135534222,7461000,92.72293090820312
2020-03-11,92.72293090820312,94.83067074343958,90.82596304639425,93.11812919591986,6102500,81.34114074707031
2020-03-12,81.34114074707031,89.16611612885566,81.15671443978998,87.15498158710352,10208800,88.71822357177734
2020-03-13,88.71822357177734,92.33651041531277,81.26210049088715,84.8803873344226,9267200,82.36865997314453
2020-03-16,82.36865997314453,87.7697408940807,80.05893241815498,81.31478676644097,6963700,91.01039123535156
2020-03-17,91.01039123535156,93.52211352986176,83.48400847182147,83.53670649150403,10586400,90.29901885986328
2020-03-18,90.29901885986328,95.15559798404982,85.0560189141162,86.89151111620936,8845700,88.26154327392578
2020-03-19,88.26154327392578,94.07539062607461,87.65556635510696,90.21120231680396,7414200,85.53905487060547
2020-03-20,85.53905487060547,90.0004362726777,84.6432622621515,87.2076825115733,8057200,84.91551971435547
2020-03-23,84.91551971435547,87.11985814280169,82.38622914419435,84.79256883389714,7104300,88.31423950195312
2020-03-24,88.31423950195312,89.27150753856789,84.30953856425353,87.94538687881135,6498600,79.95353698730469
2020-03-25,79.95353698730469,87.23401686602752,79.4968566224798,87.04959057649724,12563200,84.37100219726562
2020-03-26,84.37100219726562,84.72229323219895,80.10283186857586,80.2609124992799,7014000,83.20297241210938
2020-03-27,83.20297241210938,85.91668911720184,81.61338849476319,82.98341632627394,4902800,84.31831359863281
2020-03-30,84.31831359863281,85.86398348153415,83.87041734718147,84.46761011567679,4485600,81.64851379394531
2020-03-31,81.64851379394531,84.99454621443823,80.93715425896042,83.67720977168422,6388400,83.66842651367188
2020-04-01,83.66842651367188,84.43248407044717,80.17309753510656,80.48047470151512,8581000,82.86925506591797
2020-04-02,82.86925506591797,84.01972688784085,80.90203428254438,82.79021138561218,5929200,81.2972183227539
2020-04-03,81.2972183227539,82.66724600474654,79.18947878869804,82.1403127963124,6815300,85.63566589355469
2020-04-06,85.63566589355469,85.90791332226937,80.9108141803268,81.86808229149626,7107800,86.2943344116211
2020-04-07,86.2943344116211,89.28029881519842,85.21411541403258,86.72466250644938,6599300,91.88861846923828
2020-04-08,91.88861846923828,92.81954090879981,87.82244182486255,88.12981903118546,7542900,91.510986328125
2020-04-09,91.510986328125,92.06427202780063,89.13978295909517,89.57889519042077,7069200,91.93251037597656
2020-04-13,91.93251037597656,92.53848722369437,90.37805647571133,91.51095980792962,3235500,95.18196105957031
2020-04-14,95.18196105957031,96.52565006218622,92.98639999037661,95.2785662826405,5032300,93.30254364013672
2020-04-15,93.30254364013672,95.72644447730279,92.43310349757908,95.5156725306899,4225600,95.98992156982422
2020-04-16,95.98992156982422,96.5080707063232,93.66262576445654,93.97000293867795,5950300,99.60821533203125
2020-04-17,99.60821533203125,100.1790625635702,95.22587721049156,97.39509267014708,7617500,95.70889282226562
2020-04-20,95.70889282226562,98.80023959294402,95.48055261467232,98.80023959294402,5329600,93.8822021484375
2020-04-21,93.8822021484375,95.07658802683353,93.0127617532432,95.07658802683353,4519700,93.8294906616211
