Date,Close,High,Low,Open,Volume,Target,SMA_5,SMA_10,EMA_5,EMA_10,RSI
2024-01-19,9082.060546875,9223.599152800323,9058.47077922078,9223.599152800323,63176500,9082.060546875,9148.1115234375,9105.65,9120.702659969891,9093.622620214737,62.49995148714539
2024-01-22,9082.060546875,9105.65031452922,8987.701476258117,9058.47077922078,52868300,9058.470703125,9129.23984375,9110.36796875,9107.821955604928,9091.520425062057,62.49995148714539
2024-01-23,9058.470703125,9058.470703125,8916.932098388672,8916.932098388672,92348600,8987.7021484375,9110.3681640625,9108.008984375,9091.37153811162,9085.511384709864,66.66671266410737
2024-01-24,8987.7021484375,9058.471456692914,8940.522609600557,9058.471456692914,84906000,8964.111328125,9067.9068359375,9105.65009765625,9056.815074886914,9067.727887205796,53.5715183369926
2024-01-25,8964.111328125,9034.880628083882,8916.931794819078,8916.931794819078,63212700,8822.572265625,9034.8810546875,9098.57314453125,9025.913825966276,9048.888512827469,43.99998012909465
2024-01-26,8822.572265625,8916.931327289438,8775.39273479278,8869.75179645722,78977300,9011.291015625,8982.9833984375,9065.5474609375,8958.133305852518,9007.7401042452,35.483832197790164
2024-01-29,9011.291015625,9011.291015625,8846.16264622873,8869.75241328534,73452800,9105.650390625,8968.8294921875,9049.03466796875,8975.852542443346,9008.385724496073,45.94593687413988
2024-01-30,9105.650390625,9105.650390625,8940.52201566548,8964.11178351684,73136400,9011.291015625,8978.2654296875,9044.316796875,9019.118491837231,9026.070209246785,55.26316936223618
2024-01-31,9011.291015625,9152.82961796466,9011.291015625,9152.82961796466,102581200,9152.8291015625,8982.983203125,9025.44501953125,9016.50933309982,9023.383083133733,48.780485342197146
2024-02-01,9152.8291015625,9176.418867288176,9034.880272934117,9105.649570111147,104208700,9152.8291015625,9020.7267578125,9027.80390625,9061.949255920714,9046.918722848053,50.0
2024-02-02,9152.8291015625,9247.188164465206,9082.05980438547,9223.598398739528,99324000,9034.880859375,9086.778125,9034.88076171875,9092.24253780131,9066.175155341589,48.780485342197146
2024-02-05,9034.880859375,9129.239928402416,8987.701324861293,9129.239928402416,57983300,9082.060546875,9091.49609375,9030.16279296875,9073.121978325875,9060.485283347663,44.44447510940491
2024-02-06,9082.060546875,9200.009385146104,9082.060546875,9200.009385146104,87651000,9152.8291015625,9086.778125,9032.52177734375,9076.101501175584,9064.40805853445,44.44447510940491
2024-02-07,9152.8291015625,9176.418867288176,9105.649570111147,9152.8291015625,92953500,9247.1884765625,9115.0857421875,9049.03447265625,9101.677367971224,9080.484611812277,51.111068180166455
2024-02-12,9247.1884765625,9247.1884765625,9152.829410475128,9200.008943518813,87949400,9176.4189453125,9133.9576171875,9077.3421875,9150.181070834984,9110.794405403227,57.4467841480311
2024-02-13,9176.4189453125,9247.18824309126,9152.829179386246,9200.008711238754,66072400,9294.3681640625,9138.6755859375,9112.72685546875,9158.927028994156,9122.726139932185,53.99996853775924
2024-02-15,9294.3681640625,9412.31699863182,9294.3681640625,9388.727231717956,164748900,9388.7275390625,9190.573046875,9141.0345703125,9204.074074016939,9153.933780683152,59.25924222317794
2024-02-16,9388.7275390625,9435.907074434674,9317.958236004239,9412.317306748586,142277200,9317.9580078125,9251.9064453125,9169.34228515625,9265.625229032126,9196.623554933942,65.45449345089261
2024-02-19,9317.9580078125,9412.317076246045,9270.778473595728,9341.547774920886,53341300,9459.49609375,9284.9322265625,9200.008984375,9283.069488625584,9218.684364548224,63.157887091842554
2024-02-20,9459.49609375,9459.49609375,9294.367733011222,9294.367733011222,63997700,9412.3173828125,9327.39375,9230.67568359375,9341.87835700039,9262.468315312182,73.68420670381323
2024-02-21,9412.3173828125,9435.907150689223,9294.368543428885,9388.727614935777,75371600,9317.9580078125,9374.5734375,9256.62451171875,9365.358032271095,9289.71360031224,66.66669372401986
2024-02-22,9317.9580078125,9412.317076246045,9317.9580078125,9412.317076246045,66913000,9270.77734375,9379.29140625,9284.9322265625,9349.55802411823,9294.848947130467,58.82352463693767
2024-02-23,9270.77734375,9365.136400683843,9247.18757951654,9341.546636450383,55192300,9247.1884765625,9355.7013671875,9303.80390625,9323.297797328822,9290.472291970382,61.224443242877896
2024-02-26,9247.1884765625,9317.957776128029,9176.419176996971,9200.008943518813,41356000,9317.9580078125,9341.5474609375,9313.23984375,9297.928023740049,9282.602507350766,54.54547165195793
2024-02-27,9317.9580078125,9341.547774920886,9200.00917227057,9200.00917227057,43735800,9435.9072265625,9313.23984375,9320.316796875,9304.604685097533,9289.03078016199,57.446834747315314
2024-02-28,9435.9072265625,9435.9072265625,9341.548154296876,9412.317458496094,54043100,9317.9580078125,9317.9578125,9346.265625,9348.372198919189,9315.735588598445,68.08511013107214
2024-02-29,9317.9580078125,9435.90684335443,9294.368240704114,9435.90684335443,126671200,9270.77734375,9317.9578125,9348.624609375,9338.23413521696,9316.139664819182,59.99998344092591
2024-03-01,9270.77734375,9365.136400683843,9247.18757951654,9341.546636450383,51520600,9200.0087890625,9317.9578125,9336.82958984375,9315.748538061307,9307.89197007933,55.102002884315624
2024-03-04,9200.0087890625,9270.778087439903,9200.0087890625,9247.188321314103,43822900,9247.1884765625,9308.521875,9325.03466796875,9277.168621728371,9288.276846258088,47.91666307312033
2024-03-05,9247.1884765625,9341.547542649872,9223.598710040656,9341.547542649872,61952900,9388.7275390625,9294.36796875,9303.80390625,9267.175240006414,9280.806233586163,53.19149498383729
2024-03-06,9388.7275390625,9435.907074434674,9223.599165259893,9341.548003690326,70242200,9553.85546875,9284.93203125,9301.444921875,9307.69267302511,9300.428289127314,54.166673853759335
2024-03-07,9553.85546875,9601.035001929013,9435.906635802468,9483.086168981481,118369300,9577.4453125,9332.1115234375,9325.03466796875,9389.74693826674,9346.50595814962,56.8627212239428
2024-03-08,9577.4453125,9718.98391317734,9553.855545720444,9671.804379618226,100947200,9435.9072265625,9393.4451171875,9355.70146484375,9452.313063011161,9388.49493166787,61.224476002436546
2024-03-13,9435.9072265625,9813.343515625,9435.9072265625,9813.343515625,141622600,9742.5732421875,9440.6248046875,9374.57333984375,9446.844450861608,9397.11534892144,48.97963149299492
2024-03-14,9742.5732421875,9742.5732421875,9459.496053552513,9483.085819272095,110681100,9577.4453125,9539.7017578125,9417.03486328125,9545.420714636906,9459.925874969813,61.666629868714104
2024-03-15,9577.4453125,9718.98391317734,9483.086245381774,9624.624846059114,154176800,9577.4453125,9577.4453125,9431.188671875,9556.09558059127,9481.293045429846,58.730154558053066
2024-03-18,9577.4453125,9695.394146397783,9577.4453125,9601.035079279556,62444100,9601.0361328125,9582.16328125,9457.13740234375,9563.21215789418,9498.775275806238,60.6557810941222
2024-03-19,9601.0361328125,9671.805440916769,9577.446363444411,9577.446363444411,55004800,9553.85546875,9586.8814453125,9490.16328125,9575.820149533622,9517.368158898285,62.295115343478706
2024-03-20,9553.85546875,9577.445235339506,9506.675935570987,9530.265702160494,66269700,9553.85546875,9610.47109375,9525.54794921875,9568.498589272414,9524.002215234961,58.333316084304975
2024-03-21,9553.85546875,9648.214535108025,9483.086168981481,9601.035001929013,90279400,9530.2666015625,9572.7275390625,9556.2146484375,9563.617549098277,9529.430079510423,54.54542717509033
2024-03-22,9530.2666015625,9553.85637037825,9388.727988668008,9435.907526299505,91968200,9725.74609375,9563.291796875,9570.3685546875,9552.500566586352,9529.582174428982,58.823558060703654
2024-03-25,9725.74609375,9725.74609375,9580.94590376861,9725.74609375,66971000,9701.61328125,9592.951953125,9587.5576171875,9610.249075640902,9565.248341578259,66.83352483361155
2024-03-26,9701.61328125,9701.61328125,9605.079815764926,9701.61328125,65742700,9725.74609375,9613.0673828125,9599.9744140625,9640.703810843936,9590.04196697312,69.2223748273836
2024-03-27,9725.74609375,9725.74609375,9653.345998759305,9677.479363756203,39514100,9725.74609375,9647.4455078125,9628.95830078125,9669.051238479291,9614.715444568916,68.66894484001357
2024-03-28,9725.74609375,9749.879458746898,9629.212633762407,9677.479363756203,79229700,9508.5458984375,9681.8236328125,9627.2755859375,9687.949523569529,9634.902835329112,64.77950251773206
2024-04-01,9508.5458984375,9749.879550682106,9484.412533213039,9725.746185457645,79248700,9556.8125,9677.4794921875,9620.38564453125,9628.148315192186,9611.928846803365,48.09979350300326
2024-04-02,9556.8125,9605.079229797979,9460.27904040404,9580.94586489899,76763100,9194.8125,9643.6927734375,9618.32236328125,9604.369710128125,9601.907692839115,49.15224177640819
2024-04-03,9194.8125,9460.279527559056,9194.8125,9412.01279527559,177418400,9508.5458984375,9542.3326171875,9577.7,9467.850640085417,9527.890385050185,41.61331591323378
2024-04-04,9508.5458984375,9508.5458984375,9243.078880968433,9243.078880968433,75993500,9484.412109375,9498.892578125,9573.16904296875,9481.415726202778,9524.37320566606,41.89899263065378
2024-04-05,9484.412109375,9605.078930104963,9484.412109375,9605.078930104963,70428600,9146.5458984375,9450.62578125,9566.22470703125,9482.41452059352,9517.107551794958,46.431241861601144
2024-04-16,9146.5458984375,9243.07936438407,8929.345600057717,9025.879066004287,283265900,9194.8125,9378.22578125,9527.85263671875,9370.45831320818,9449.732705729964,36.87327340978178
2024-04-17,9194.8125,9339.612696850394,9194.8125,9218.945866141732,95620700,9146.5458984375,9305.82578125,9474.75927734375,9311.909708805455,9403.383577415425,37.808278598916154
2024-04-18,9146.5458984375,9243.07936438407,9122.412531950857,9194.812631410785,127134000,9146.5458984375,9296.1724609375,9419.2525390625,9256.788438682805,9356.685817601256,37.78365006382254
