Date,Close,High,Low,Open,Volume,Target,SMA_5,SMA_10,EMA_5,EMA_10,RSI
2024-01-19,5640.1103515625,5640.1103515625,5553.671878741619,5618.50073335728,74814000,5618.50048828125,5635.78837890625,5603.37392578125,5630.574950432405,5589.269572371735,78.57142857142857
2024-01-22,5618.50048828125,5661.719722806491,5575.281253756009,5618.50048828125,96993100,5618.50048828125,5635.78837890625,5612.017724609375,5626.550129715353,5594.584284355284,75.86203941130043
2024-01-23,5618.50048828125,5661.719722806491,5575.281253756009,5640.11010554387,77037800,5532.0625,5631.46640625,5622.822509765625,5623.8669159039855,5598.932685069096,78.57142857142857
2024-01-24,5532.0625,5596.891357421875,5488.84326171875,5575.28173828125,97290600,5424.01416015625,5609.8568359375,5620.66162109375,5593.26544393599,5586.774469601987,54.545510567539196
2024-01-25,5424.01416015625,5532.062250996016,5402.404541988297,5467.233396492156,99094100,5445.62353515625,5566.63759765625,5605.534912109375,5536.848349342744,5557.1816860663985,37.500047074064454
2024-01-26,5445.62353515625,5467.233152359251,5380.794683547247,5402.404300750248,77236800,5596.89111328125,5527.740234375,5581.764306640625,5506.440077947246,5536.898385900917,41.66662743831656
2024-01-29,5596.89111328125,5596.89111328125,5424.0141676972735,5488.843022291265,124753000,5748.158203125,5523.418359375,5579.603369140625,5536.590423058581,5547.806154515522,56.6666616454369
2024-01-30,5748.158203125,5791.377437734962,5575.28126468515,5596.890881990132,123330900,5748.158203125,5549.34990234375,5590.408154296875,5607.113016414054,5584.233799717245,62.85714654620883
2024-01-31,5748.158203125,5791.377437734962,5748.158203125,5748.158203125,128185000,5661.7197265625,5592.56904296875,5601.212939453125,5654.128078651036,5614.038236700473,61.7646980638284
2024-02-01,5661.7197265625,5726.548578393368,5618.500492008588,5683.329343839456,168145800,5769.76806640625,5640.11015625,5603.373876953125,5656.658627954857,5622.707598493568,48.484831885735026
2024-02-02,5769.76806640625,5769.76806640625,5704.939211727528,5726.548829953769,120116200,5899.42529296875,5704.9390625,5616.3396484375,5694.361774105322,5649.445865386783,60.00001291173922
2024-02-05,5899.42529296875,6007.473375257555,5769.767594222184,5791.377210679945,150535100,5921.03515625,5765.4458984375,5644.43212890625,5762.7162803931315,5694.896670401687,64.99998022888175
2024-02-06,5921.03515625,5985.86400832573,5856.2063041742695,5899.425538891423,90146000,6007.4736328125,5800.0212890625,5674.685595703125,5815.489239012088,5736.012758737743,65.8536491273706
2024-02-07,6007.4736328125,6007.4736328125,5921.035163275629,5942.644780659847,88745500,6137.13134765625,5851.884375,5722.226708984375,5879.484036945559,5785.369281296789,68.8888810780792
2024-02-12,6137.13134765625,6223.5698173415485,6093.9121128136,6180.3505824989,162771300,6072.30224609375,5946.96669921875,5793.538427734375,5965.3664738491225,5849.326020634872,72.5490135267631
2024-02-13,6072.30224609375,6158.740712230316,6072.30224609375,6137.131095696174,102668900,6223.56982421875,6007.47353515625,5856.206298828125,6001.011731263999,5889.867152536486,69.81131431952845
2024-02-15,6223.56982421875,6374.837146335178,6180.350589328342,6310.008293999566,220530000,6223.56982421875,6072.30244140625,5918.874169921875,6075.197762248916,5950.540365569625,73.33333333333333
2024-02-16,6223.56982421875,6396.446763780382,6223.56982421875,6374.837146335178,142022100,6180.3505859375,6132.809375,5966.41533203125,6124.6551162388605,6000.1820853240115,78.5713968685
2024-02-19,6180.3505859375,6331.617907970935,6158.740968504152,6180.3505859375,83753500,6180.3505859375,6167.384765625,6009.6345703125,6143.220272805074,6032.939994526464,83.01885022776736
2024-02-20,6180.3505859375,6266.789055670892,6180.3505859375,6266.789055670892,87312000,6266.7890625,6176.02861328125,6061.49765625,6155.597043849217,6059.741920237561,82.6922934865311
2024-02-21,6266.7890625,6266.7890625,6115.521740301724,6158.740975215517,128063900,6137.13134765625,6214.9259765625,6111.199755859375,6192.661050066145,6097.386855194368,81.63263423944545
2024-02-22,6137.13134765625,6223.5698173415485,6137.13134765625,6201.960199920224,85735800,6093.912109375,6197.63828125,6134.970361328125,6174.151149262848,6104.613126551073,68.74999117361708
2024-02-23,6093.912109375,6137.131344193262,6050.6928745567375,6093.912109375,109404700,6093.912109375,6171.70673828125,6152.258056640625,6147.404802633566,6102.667487064515,65.99999276942697
