Date,Close,High,Low,Open,Volume,Target
2024-01-02,286.72100830078125,286.9526614114831,284.8001197331619,284.8001197331619,4458400,284.1630859375
2024-01-03,284.1630859375,287.6380005775951,284.02793531215025,286.68240199731054,3114800,281.6050720214844
2024-01-04,281.6050720214844,286.94296108932025,280.8135808463991,285.0607209012066,4615400,278.9505920410156
2024-01-05,278.9505920410156,280.24403743503854,277.2227971438187,279.1629505061483,3406900,281.759521484375
2024-01-08,281.759521484375,281.8560534215496,277.53167596986594,278.48730385325956,3097000,280.76531982421875
2024-01-09,280.76531982421875,280.76531982421875,277.53169122430864,279.5684062182178,2176400,283.8734436035156
2024-01-10,283.8734436035156,284.16303941438844,280.76530376091347,280.89079233321723,2199700,283.931396484375
2024-01-11,283.931396484375,284.70362263035474,280.5529844214292,284.2209923356482,2047400,283.2749938964844
2024-01-12,283.2749938964844,285.4757866098888,282.6668750816442,285.19585282295674,1714200,280.9776611328125
2024-01-16,280.9776611328125,284.0278876927111,279.90623617181285,283.27498571926475,2859000,281.0452880859375
2024-01-17,281.0452880859375,282.1842885576132,280.05107081703136,280.0607328496882,2008200,284.134033203125
2024-01-18,284.134033203125,284.2498891937176,281.1900008075482,281.94290273064905,2221200,290.0897216796875
2024-01-19,290.0897216796875,290.62060314389265,286.2190178512246,287.6476139210036,4240800,288.04339599609375
2024-01-22,288.04339599609375,291.8851434795387,287.39665848488715,290.49516597082567,3250200,289.6264343261719
2024-01-23,289.6264343261719,289.7808795587037,286.80788984035956,287.10711827294756,1874000,290.0028381347656
2024-01-24,290.0028381347656,291.54726067264977,288.9120891650585,289.5781212004122,3209700,286.88507080078125
2024-01-25,286.88507080078125,290.8426448228797,285.80398373194555,290.2924392568929,3219600,282.1070556640625
2024-01-26,282.1070556640625,285.69782606156184,281.56651211668964,285.07038314281294,4210500,282.1553039550781
2024-01-29,282.1553039550781,282.58968297775573,278.29426182430365,281.5085958943251,3899700,284.4140319824219
2024-01-30,284.4140319824219,284.6746711990777,280.118639955399,281.99124788971284,2524200,282.5510559082031
2024-01-31,282.5510559082031,287.1070866653639,281.5182200991476,285.62057724113345,3476200,287.7248229980469
2024-02-01,287.7248229980469,287.77310369516533,280.195803244234,281.56648604936987,3380600,286.7306213378906
2024-02-02,286.7306213378906,287.81173784813444,283.15917514246064,285.78468489536994,3969400,276.0355529785156
2024-02-05,276.0355529785156,281.3155292183473,273.4872510578872,277.03943217064926,7581900,274.76141357421875
2024-02-06,274.76141357421875,274.79037021283403,271.75946736057796,273.1397828969321,5927200,277.3482971191406
2024-02-07,277.3482971191406,280.4371426203301,274.2401570118812,275.1475042732026,3954700,281.7884826660156
2024-02-08,281.7884826660156,282.9661016207574,274.3270380663642,276.2575590113564,4605000,279.41400146484375
2024-02-09,279.41400146484375,282.34840208819645,278.88311989044166,282.0008929364252,3323000,279.3849792480469
2024-02-12,279.3849792480469,281.07418498864956,278.72860923004833,278.96026230524535,2392300,277.1358947753906
2024-02-13,277.1358947753906,279.828979495454,275.74594692292254,278.60310941215505,2756100,278.15911865234375
2024-02-14,278.15911865234375,278.303901829306,276.63399063524423,277.33864137300907,2139300,281.7209167480469
2024-02-15,281.7209167480469,281.952599300204,277.3000365980044,277.8984933977023,2401400,281.8753356933594
2024-02-16,281.8753356933594,283.4969955776717,279.21123697985144,280.68808423603207,2837500,282.4834899902344
2024-02-20,282.4834899902344,285.2344884095248,281.70163131260847,281.8560765332698,2264000,283.6996765136719
2024-02-21,283.6996765136719,284.94487062865323,282.0973407779568,282.9081559471002,2076800,285.639892578125
2024-02-22,285.639892578125,286.36383793400717,283.06263414992327,283.78657950580543,3146600,287.4063415527344
2024-02-23,287.4063415527344,288.36194011338813,284.81945023339125,285.7171355150609,2199000,286.7981872558594
2024-02-26,286.7981872558594,288.30399123836077,286.10319853644245,287.85031763738846,2595300,283.554931640625
2024-02-27,283.554931640625,286.48930232784073,283.1302146674257,286.48930232784073,2811200,284.93524169921875
2024-02-28,284.93524169921875,285.81363226551775,282.55104714995343,283.81553601440066,2507300,283.7315368652344
2024-02-29,283.7315368652344,286.12929670284234,283.1782008353983,285.5953946828345,3601700,282.2268981933594
2024-03-01,282.2268981933594,284.1101605014648,281.06198328885534,282.86759842833493,3028600,282.43072509765625
2024-03-04,282.43072509765625,282.72193898772855,280.06208670835395,280.9066366145779,2832000,283.9839172363281
2024-03-05,283.9839172363281,284.9255482554473,280.46979826549534,283.03256921314187,2969600,284.3625183105469
2024-03-06,284.3625183105469,286.5079026323283,283.6053325572754,284.7508133795296,2348000,282.5957336425781
2024-03-07,282.5957336425781,286.2943277601393,282.5180864809953,285.59538480583825,2237700,283.9936218261719
2024-03-08,283.9936218261719,284.8964441337612,280.38242147085725,281.5570532836847,2481800,286.1972351074219
2024-03-11,286.1972351074219,286.808813871026,283.3335036230894,283.6053131152454,2893300,285.7021484375
2024-03-12,285.7021484375,287.69217909082573,284.95467972320483,287.0320745411874,2233100,274.5870056152344
2024-03-13,274.5870056152344,284.8867038331228,274.33463013994555,283.7121017413601,5441300,273.4901123046875
2024-03-14,273.4901123046875,274.25698544915684,269.70415385724067,274.15993389923483,4659300,270.975830078125
2024-03-15,270.975830078125,275.91695607359236,270.23804879883727,273.64539908869256,5071400,270.4322204589844
2024-03-18,270.4322204589844,272.10191595660496,269.93715682525294,271.2962044105219,3319400,274.59674072265625
2024-03-19,274.59674072265625,276.0819907857834,270.4322044181965,271.0340958220571,4055400,276.1305236816406
2024-03-20,276.1305236816406,276.276130612236,273.14058979002965,275.20829707951776,2867300,275.2373962402344
2024-03-21,275.2373962402344,277.22742658936926,274.37344210512526,276.1790271487295,3653300,274.36376953125
2024-03-22,274.36376953125,276.0723033223063,273.86867630202033,275.57721009307664,2556100,270.47100830078125
2024-03-25,270.47100830078125,272.3736745645321,269.5196899814108,271.81065125051754,2985500,270.47100830078125
2024-03-26,270.47100830078125,271.27674932127945,269.0634352032399,271.0534656213201,2572100,273.7715759277344
2024-03-27,273.7715759277344,274.0433854095163,269.9662431827876,269.9662431827876,2605000,273.7036437988281
2024-03-28,273.7036437988281,275.09181258415015,273.0241052867765,273.99485766112946,3453900,272.0242614746094
2024-04-01,272.0242614746094,273.3153492396357,270.49048558927615,273.26682346558016,2408800,269.6167297363281
2024-04-02,269.6167297363281,272.2766111380948,269.33523290412245,271.8106393770168,2907700,267.4811096191406
2024-04-03,267.4811096191406,269.83031370564055,267.10250198432675,268.4809833501737,2748000,262.1905212402344
2024-04-04,262.1905212402344,268.1606427819676,262.02550991652714,268.1606427819676,4095100,258.8899841308594
2024-04-05,258.8899841308594,262.70503430954363,258.5696192189001,261.5401490956403,6815200,259.7345275878906
2024-04-08,259.7345275878906,260.83148261512724,258.0939535493709,259.4238796885819,3753200,261.5595397949219
2024-04-09,261.5595397949219,261.7828235211193,257.7347728114477,258.43371575322504,3934900,260.8120422363281
2024-04-10,260.8120422363281,261.12266046775443,257.3561366772405,259.16175142089344,3817500,260.7635192871094
2024-04-11,260.7635192871094,261.9866768583734,259.3365119956393,261.61778618608656,2519200,259.5694885253906
2024-04-12,259.5694885253906,260.38491695519247,258.78315185646306,260.07426908907433,2708400,258.4434509277344
2024-04-15,258.4434509277344,260.6664528415411,258.26869296124346,260.0257526311158,3686700,257.66680908203125
2024-04-16,257.66680908203125,259.18118049517295,257.39499958800616,258.3463476296005,2912900,262.0546569824219
2024-04-17,262.0546569824219,262.21966832229805,257.75420076510693,258.7055489082745,3383100,263.0544738769531
2024-04-18,263.0544738769531,263.3554047256242,260.9867666989803,263.0544738769531,3402700,264.03497314453125
2024-04-19,264.03497314453125,264.2582568931198,262.5691569581955,264.05440715528806,3016700,267.51995849609375
2024-04-22,267.51995849609375,268.413063823025,264.3553255197185,265.74349447216315,3129300,268.78192138671875
2024-04-23,268.78192138671875,269.2867019549431,266.2191209057073,268.72367861442405,3275700,268.6557312011719
2024-04-24,268.6557312011719,268.9275406927254,264.9086410943974,267.4811290724955,4071600,267.53936767578125
2024-04-25,267.53936767578125,271.63594399354037,266.685100822787,268.9178194953756,4179800,265.102783203125
2024-04-26,265.102783203125,268.03444493919494,262.46233535225565,263.2971978648537,3636500,265.54931640625
2024-04-29,265.54931640625,266.4035832879648,264.62711936918174,265.8211259027035,3148900,265.05426025390625
2024-04-30,265.05426025390625,268.77222914463476,254.94872357961006,256.5989849883481,6894400,266.4035949707031
2024-05-01,266.4035949707031,268.3450999233738,262.151694384352,263.44281176788616,4843200,265.2872314453125
2024-05-02,265.2872314453125,268.2286102181202,264.7338954323551,266.4812676377447,3084000,262.413818359375
2024-05-03,262.413818359375,266.5880421869819,261.0256494184515,266.1220999550718,2642100,261.423583984375
2024-05-06,261.423583984375,263.92814152221797,261.17120852998687,263.1321175218177,2481300,259.6763000488281
2024-05-07,259.6763000488281,262.75359858347923,259.181206781814,262.14201975364205,3160000,260.63726806640625
2024-05-08,260.63726806640625,261.06440143614776,258.2783471551122,259.676232796992,3259800,260.11309814453125
2024-05-09,260.11309814453125,260.62759569338454,259.2102759644596,260.60816168681765,3140000,266.9568786621094
2024-05-10,266.9568786621094,267.3257692708075,260.00628873903304,260.32665358343246,4983500,263.3845520019531
2024-05-13,263.3845520019531,268.64601349433724,263.2098236774856,267.3258044316769,3840700,262.743896484375
2024-05-14,262.743896484375,264.7921702052554,260.8509171060583,264.1611869541557,3143200,265.8599548339844
